,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
503,1200-1600,0,2.0-2.5,0,0.0-5.0,1,20-40,0.4-0.6,160-200,7,5.0-10.0,500-1000,1600-2000,0-1000,17-20,10.0-15.0,5.0-10.0,1,1,1,0
504,1600-2000,1,1.0-1.5,0,0.0-5.0,0,20-40,0.2-0.4,80-120,2,0.0-5.0,500-1000,800-1200,0-1000,8-11,0.0-5.0,5.0-10.0,1,1,1,0
505,1600-2000,1,0.5-1.0,0,0.0-5.0,0,0-20,0.6-0.8,120-160,1,0.0-5.0,0-500,400-800,1000-2000,14-17,5.0-10.0,10.0-15.0,0,1,1,1
506,1200-1600,1,1.5-2.0,1,0.0-5.0,1,20-40,0-0.2,120-160,7,5.0-10.0,500-1000,1200-1600,2000-3000,11-14,10.0-15.0,5.0-10.0,1,0,1,2
507,400-800,1,0.5-1.0,1,5.0-10.0,0,0-20,0.8-1.0,80-120,3,10.0-15.0,0-500,1600-2000,2000-3000,17-20,10.0-15.0,10.0-15.0,0,1,1,2
508,400-800,0,2.0-2.5,0,0.0-5.0,0,40-60,0.6-0.8,160-200,5,5.0-10.0,500-1000,1600-2000,2000-3000,17-20,15.0-20.0,5.0-10.0,0,0,1,2
509,1600-2000,1,2.0-2.5,0,5.0-10.0,0,40-60,0.6-0.8,120-160,3,10.0-15.0,0-500,1200-1600,1000-2000,8-11,0.0-5.0,10.0-15.0,1,0,1,2
510,400-800,1,1.0-1.5,0,5.0-10.0,1,40-60,0.4-0.6,120-160,4,15.0-20.0,500-1000,800-1200,3000-4000,11-14,5.0-10.0,5.0-10.0,1,1,0,3
511,800-1200,1,2.0-2.5,1,5.0-10.0,0,0-20,0.8-1.0,120-160,1,10.0-15.0,1500-2000,1600-2000,3000-4000,5-8,0.0-5.0,15.0-20.0,0,0,1,3
512,1600-2000,1,2.0-2.5,1,10.0-15.0,0,0-20,0.4-0.6,160-200,1,10.0-15.0,0-500,1600-2000,0-1000,5-8,0.0-5.0,15.0-20.0,1,0,0,0
513,1200-1600,1,0.5-1.0,0,5.0-10.0,1,40-60,0.8-1.0,160-200,4,15.0-20.0,0-500,800-1200,2000-3000,11-14,5.0-10.0,10.0-15.0,1,0,1,1
514,800-1200,0,2.0-2.5,1,0.0-5.0,1,0-20,0.8-1.0,80-120,6,10.0-15.0,500-1000,800-1200,1000-2000,11-14,0.0-5.0,15.0-20.0,1,1,1,1
515,1600-2000,0,0.5-1.0,0,0.0-5.0,0,0-20,0.4-0.6,80-120,7,5.0-10.0,0-500,400-800,2000-3000,17-20,5.0-10.0,15.0-20.0,0,0,0,2
516,800-1200,0,1.0-1.5,0,0.0-5.0,1,0-20,0.6-0.8,160-200,8,0.0-5.0,1000-1500,1600-2000,1000-2000,5-8,0.0-5.0,5.0-10.0,1,1,1,1
517,800-1200,0,2.0-2.5,0,5.0-10.0,0,60-80,0-0.2,120-160,3,15.0-20.0,1500-2000,1600-2000,3000-4000,14-17,10.0-15.0,10.0-15.0,1,1,0,3
518,1600-2000,0,1.0-1.5,0,0.0-5.0,0,40-60,0-0.2,120-160,4,0.0-5.0,1000-1500,1600-2000,3000-4000,11-14,5.0-10.0,15.0-20.0,0,0,1,3
519,1600-2000,1,1.5-2.0,0,5.0-10.0,1,0-20,0.8-1.0,160-200,3,15.0-20.0,500-1000,1200-1600,3000-4000,5-8,0.0-5.0,10.0-15.0,1,1,1,3
520,1600-2000,1,0.5-1.0,1,10.0-15.0,1,40-60,0.6-0.8,80-120,1,15.0-20.0,1500-2000,1600-2000,2000-3000,5-8,0.0-5.0,5.0-10.0,1,0,1,3
521,800-1200,1,1.0-1.5,0,5.0-10.0,1,40-60,0.8-1.0,120-160,8,5.0-10.0,500-1000,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,0,1
522,1600-2000,0,1.5-2.0,1,5.0-10.0,1,0-20,0.4-0.6,120-160,3,5.0-10.0,500-1000,1200-1600,3000-4000,14-17,10.0-15.0,0.0-5.0,1,0,1,3
523,1200-1600,0,0.5-1.0,1,0.0-5.0,0,40-60,0.2-0.4,80-120,5,10.0-15.0,0-500,400-800,3000-4000,14-17,0.0-5.0,0.0-5.0,0,0,0,3
524,800-1200,0,0.5-1.0,1,0.0-5.0,1,20-40,0-0.2,80-120,2,0.0-5.0,0-500,1600-2000,3000-4000,5-8,5.0-10.0,0.0-5.0,1,0,1,3
525,1200-1600,1,1.0-1.5,0,0.0-5.0,1,20-40,0-0.2,80-120,8,15.0-20.0,1500-2000,1600-2000,3000-4000,14-17,5.0-10.0,15.0-20.0,1,0,1,3
526,400-800,1,0.5-1.0,1,5.0-10.0,1,40-60,0.4-0.6,120-160,8,10.0-15.0,500-1000,800-1200,2000-3000,11-14,5.0-10.0,5.0-10.0,1,0,0,2
527,1600-2000,1,0.5-1.0,0,5.0-10.0,0,20-40,0-0.2,160-200,4,10.0-15.0,1000-1500,1200-1600,2000-3000,17-20,15.0-20.0,10.0-15.0,1,1,1,3
528,1600-2000,0,0.5-1.0,1,5.0-10.0,1,60-80,0-0.2,120-160,2,10.0-15.0,0-500,800-1200,2000-3000,8-11,0.0-5.0,5.0-10.0,1,0,0,2
529,1600-2000,0,0.5-1.0,0,5.0-10.0,1,0-20,0.2-0.4,80-120,1,15.0-20.0,0-500,1600-2000,2000-3000,5-8,0.0-5.0,5.0-10.0,1,1,1,2
530,800-1200,1,2.5-3.0,0,0.0-5.0,1,20-40,0.6-0.8,80-120,6,5.0-10.0,0-500,800-1200,0-1000,17-20,0.0-5.0,5.0-10.0,1,1,0,0
531,400-800,1,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,160-200,5,5.0-10.0,1000-1500,1200-1600,0-1000,11-14,0.0-5.0,5.0-10.0,1,1,0,0
532,400-800,1,2.5-3.0,0,0.0-5.0,0,20-40,0.8-1.0,120-160,5,15.0-20.0,0-500,800-1200,3000-4000,11-14,5.0-10.0,5.0-10.0,1,0,0,3
533,1200-1600,1,0.5-1.0,0,0.0-5.0,0,0-20,0.4-0.6,160-200,4,10.0-15.0,500-1000,400-800,1000-2000,5-8,0.0-5.0,5.0-10.0,1,0,1,1
534,1600-2000,1,1.5-2.0,1,0.0-5.0,0,0-20,0.8-1.0,80-120,7,0.0-5.0,0-500,800-1200,2000-3000,11-14,0.0-5.0,15.0-20.0,1,1,1,2
535,800-1200,0,1.5-2.0,0,0.0-5.0,0,20-40,0.2-0.4,120-160,8,5.0-10.0,500-1000,1600-2000,2000-3000,14-17,0.0-5.0,0.0-5.0,1,1,1,2
536,400-800,0,2.0-2.5,0,5.0-10.0,1,20-40,0.8-1.0,160-200,6,15.0-20.0,1000-1500,1200-1600,0-1000,8-11,5.0-10.0,15.0-20.0,1,1,1,0
537,400-800,1,2.0-2.5,1,5.0-10.0,0,40-60,0.4-0.6,160-200,4,15.0-20.0,500-1000,1200-1600,2000-3000,5-8,0.0-5.0,5.0-10.0,0,1,0,2
538,400-800,0,2.0-2.5,1,0.0-5.0,0,40-60,0-0.2,160-200,6,5.0-10.0,0-500,800-1200,3000-4000,5-8,0.0-5.0,10.0-15.0,1,1,1,2
539,400-800,1,0.5-1.0,1,0.0-5.0,0,40-60,0.4-0.6,120-160,8,10.0-15.0,0-500,1200-1600,1000-2000,17-20,0.0-5.0,10.0-15.0,0,1,0,1
540,400-800,1,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,160-200,1,5.0-10.0,500-1000,1600-2000,0-1000,14-17,10.0-15.0,10.0-15.0,1,0,1,0
541,400-800,0,1.0-1.5,1,0.0-5.0,1,20-40,0.4-0.6,160-200,4,5.0-10.0,1000-1500,1600-2000,3000-4000,5-8,0.0-5.0,10.0-15.0,1,1,1,3
542,400-800,0,0.5-1.0,1,0.0-5.0,0,20-40,0-0.2,160-200,8,5.0-10.0,0-500,400-800,2000-3000,5-8,5.0-10.0,5.0-10.0,1,0,1,1
543,1200-1600,0,1.5-2.0,1,0.0-5.0,1,20-40,0.8-1.0,120-160,5,15.0-20.0,500-1000,800-1200,1000-2000,8-11,0.0-5.0,0.0-5.0,1,0,1,1
544,400-800,0,0.5-1.0,0,0.0-5.0,1,0-20,0-0.2,160-200,2,0.0-5.0,1000-1500,1200-1600,1000-2000,14-17,10.0-15.0,10.0-15.0,1,1,1,1
545,400-800,0,1.5-2.0,0,15.0-20.0,1,0-20,0-0.2,160-200,6,15.0-20.0,0-500,800-1200,2000-3000,5-8,0.0-5.0,5.0-10.0,1,1,1,1
546,1200-1600,1,0.5-1.0,1,0.0-5.0,1,40-60,0.6-0.8,160-200,8,0.0-5.0,0-500,400-800,2000-3000,14-17,0.0-5.0,5.0-10.0,1,1,0,1
547,800-1200,1,0.5-1.0,1,0.0-5.0,0,20-40,0-0.2,120-160,2,5.0-10.0,1000-1500,1600-2000,2000-3000,5-8,5.0-10.0,10.0-15.0,0,1,1,2
548,400-800,1,1.0-1.5,0,0.0-5.0,1,0-20,0.8-1.0,160-200,1,0.0-5.0,0-500,400-800,3000-4000,5-8,0.0-5.0,15.0-20.0,1,1,1,2
549,800-1200,0,0.5-1.0,1,0.0-5.0,1,20-40,0.4-0.6,80-120,2,0.0-5.0,1000-1500,1200-1600,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,1,1
550,1200-1600,1,2.0-2.5,1,5.0-10.0,0,40-60,0.8-1.0,80-120,5,10.0-15.0,500-1000,800-1200,3000-4000,5-8,5.0-10.0,0.0-5.0,0,0,1,3
551,1600-2000,1,1.5-2.0,1,0.0-5.0,0,40-60,0.4-0.6,160-200,8,5.0-10.0,500-1000,1200-1600,0-1000,5-8,0.0-5.0,0.0-5.0,1,1,1,1
552,400-800,0,2.5-3.0,0,0.0-5.0,0,40-60,0-0.2,80-120,8,0.0-5.0,500-1000,400-800,1000-2000,14-17,0.0-5.0,5.0-10.0,1,1,0,0
553,1200-1600,0,2.0-2.5,0,10.0-15.0,1,40-60,0-0.2,80-120,8,15.0-20.0,0-500,800-1200,1000-2000,5-8,5.0-10.0,15.0-20.0,1,1,0,1
554,1200-1600,1,1.5-2.0,0,5.0-10.0,1,20-40,0-0.2,120-160,4,5.0-10.0,0-500,800-1200,0-1000,11-14,5.0-10.0,5.0-10.0,1,1,1,0
555,1200-1600,1,2.0-2.5,1,5.0-10.0,0,20-40,0.6-0.8,120-160,5,5.0-10.0,0-500,400-800,0-1000,8-11,0.0-5.0,5.0-10.0,0,1,1,0
556,1200-1600,0,1.0-1.5,0,5.0-10.0,1,40-60,0.2-0.4,160-200,8,15.0-20.0,0-500,400-800,2000-3000,11-14,5.0-10.0,10.0-15.0,1,0,0,2
557,1200-1600,0,2.0-2.5,0,0.0-5.0,0,20-40,0.6-0.8,160-200,1,5.0-10.0,0-500,1200-1600,2000-3000,8-11,5.0-10.0,10.0-15.0,1,1,0,2
558,400-800,1,1.5-2.0,0,0.0-5.0,0,20-40,0.2-0.4,80-120,1,5.0-10.0,1000-1500,1600-2000,2000-3000,17-20,5.0-10.0,15.0-20.0,0,1,1,2
559,800-1200,0,2.0-2.5,1,0.0-5.0,0,0-20,0.8-1.0,160-200,1,5.0-10.0,0-500,1600-2000,1000-2000,11-14,5.0-10.0,5.0-10.0,1,1,1,0
560,800-1200,0,1.0-1.5,0,5.0-10.0,0,60-80,0-0.2,80-120,8,5.0-10.0,0-500,1200-1600,3000-4000,8-11,0.0-5.0,15.0-20.0,0,0,1,3
561,1200-1600,0,0.5-1.0,1,10.0-15.0,0,0-20,0.6-0.8,160-200,2,15.0-20.0,0-500,1600-2000,1000-2000,14-17,5.0-10.0,15.0-20.0,0,0,1,1
562,1600-2000,1,0.5-1.0,0,10.0-15.0,1,0-20,0.4-0.6,160-200,8,10.0-15.0,500-1000,1600-2000,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,0,2
563,1200-1600,0,0.5-1.0,0,0.0-5.0,0,0-20,0-0.2,120-160,6,0.0-5.0,500-1000,800-1200,1000-2000,8-11,5.0-10.0,10.0-15.0,0,1,1,1
564,400-800,0,2.5-3.0,1,15.0-20.0,0,20-40,0-0.2,80-120,6,15.0-20.0,0-500,800-1200,3000-4000,5-8,5.0-10.0,5.0-10.0,0,1,0,2
565,1200-1600,1,0.5-1.0,0,10.0-15.0,0,20-40,0-0.2,80-120,7,10.0-15.0,1000-1500,1600-2000,0-1000,14-17,10.0-15.0,10.0-15.0,0,0,1,0
566,800-1200,1,1.0-1.5,0,0.0-5.0,0,20-40,0.2-0.4,80-120,8,10.0-15.0,0-500,1600-2000,1000-2000,5-8,0.0-5.0,5.0-10.0,1,1,0,0
567,1200-1600,1,1.0-1.5,0,10.0-15.0,0,40-60,0.6-0.8,80-120,2,10.0-15.0,1500-2000,1600-2000,0-1000,17-20,0.0-5.0,0.0-5.0,0,0,0,1
568,1200-1600,0,2.5-3.0,1,10.0-15.0,0,40-60,0-0.2,120-160,2,15.0-20.0,1000-1500,1600-2000,3000-4000,14-17,5.0-10.0,0.0-5.0,0,0,0,3
569,1200-1600,1,0.5-1.0,1,0.0-5.0,1,20-40,0-0.2,120-160,2,5.0-10.0,0-500,800-1200,3000-4000,11-14,10.0-15.0,0.0-5.0,1,0,0,3
570,1200-1600,1,0.5-1.0,1,5.0-10.0,1,0-20,0.6-0.8,160-200,5,5.0-10.0,500-1000,1200-1600,3000-4000,5-8,0.0-5.0,5.0-10.0,1,1,1,3
571,1600-2000,0,0.5-1.0,1,5.0-10.0,1,20-40,0-0.2,160-200,6,15.0-20.0,0-500,800-1200,3000-4000,11-14,5.0-10.0,15.0-20.0,1,1,0,3
572,1600-2000,1,0.5-1.0,0,10.0-15.0,1,40-60,0.8-1.0,80-120,2,10.0-15.0,0-500,800-1200,3000-4000,8-11,0.0-5.0,5.0-10.0,1,1,0,3
573,1600-2000,1,0.5-1.0,1,0.0-5.0,1,40-60,0.8-1.0,160-200,1,0.0-5.0,500-1000,1200-1600,3000-4000,14-17,0.0-5.0,15.0-20.0,1,0,1,3
574,1600-2000,0,0.5-1.0,0,0.0-5.0,0,20-40,0.2-0.4,80-120,7,10.0-15.0,0-500,400-800,0-1000,5-8,0.0-5.0,5.0-10.0,1,0,1,0
575,800-1200,1,0.5-1.0,1,5.0-10.0,0,0-20,0-0.2,120-160,5,5.0-10.0,0-500,1600-2000,2000-3000,17-20,5.0-10.0,10.0-15.0,1,1,1,2
576,400-800,1,2.0-2.5,1,0.0-5.0,0,0-20,0.6-0.8,160-200,1,15.0-20.0,500-1000,1600-2000,2000-3000,8-11,0.0-5.0,10.0-15.0,1,1,0,2
577,800-1200,0,1.0-1.5,0,5.0-10.0,0,20-40,0.6-0.8,80-120,5,10.0-15.0,1000-1500,1200-1600,1000-2000,11-14,5.0-10.0,5.0-10.0,0,0,1,0
578,800-1200,0,1.5-2.0,1,0.0-5.0,1,20-40,0-0.2,80-120,4,5.0-10.0,0-500,800-1200,0-1000,11-14,5.0-10.0,15.0-20.0,1,0,0,0
579,1600-2000,1,0.5-1.0,0,0.0-5.0,0,20-40,0.2-0.4,80-120,1,10.0-15.0,0-500,1600-2000,2000-3000,11-14,0.0-5.0,15.0-20.0,1,0,0,3
580,800-1200,0,0.5-1.0,0,0.0-5.0,1,0-20,0.8-1.0,80-120,8,15.0-20.0,500-1000,1600-2000,3000-4000,14-17,0.0-5.0,0.0-5.0,1,0,1,3
581,1200-1600,1,0.5-1.0,0,5.0-10.0,1,0-20,0-0.2,80-120,3,15.0-20.0,1000-1500,1600-2000,3000-4000,11-14,5.0-10.0,5.0-10.0,1,1,1,3
582,1200-1600,0,2.5-3.0,1,0.0-5.0,1,20-40,0.2-0.4,160-200,5,15.0-20.0,0-500,800-1200,1000-2000,14-17,5.0-10.0,15.0-20.0,1,0,0,0
583,1600-2000,1,0.5-1.0,1,0.0-5.0,1,0-20,0-0.2,160-200,3,5.0-10.0,0-500,1200-1600,0-1000,8-11,0.0-5.0,10.0-15.0,1,1,0,0
584,800-1200,1,2.5-3.0,1,15.0-20.0,0,0-20,0-0.2,160-200,3,15.0-20.0,1500-2000,1600-2000,3000-4000,14-17,5.0-10.0,0.0-5.0,0,1,0,3
585,400-800,1,2.0-2.5,1,0.0-5.0,1,40-60,0-0.2,80-120,3,0.0-5.0,1000-1500,1200-1600,0-1000,5-8,5.0-10.0,5.0-10.0,1,0,1,0
586,400-800,1,2.5-3.0,0,5.0-10.0,1,20-40,0-0.2,80-120,1,5.0-10.0,1000-1500,1200-1600,1000-2000,8-11,0.0-5.0,5.0-10.0,1,1,1,0
587,1600-2000,1,0.5-1.0,0,0.0-5.0,0,20-40,0.4-0.6,120-160,4,10.0-15.0,500-1000,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,0,1
588,1600-2000,1,1.0-1.5,1,0.0-5.0,0,20-40,0.8-1.0,160-200,8,15.0-20.0,1000-1500,1600-2000,1000-2000,8-11,0.0-5.0,15.0-20.0,0,1,0,2
589,1200-1600,0,0.5-1.0,1,0.0-5.0,0,0-20,0.6-0.8,160-200,5,0.0-5.0,0-500,800-1200,0-1000,8-11,0.0-5.0,5.0-10.0,0,1,1,0
590,400-800,1,0.5-1.0,0,5.0-10.0,0,20-40,0.4-0.6,160-200,5,10.0-15.0,1000-1500,1200-1600,3000-4000,11-14,5.0-10.0,5.0-10.0,0,0,0,2
591,1600-2000,1,1.0-1.5,0,0.0-5.0,1,20-40,0.6-0.8,160-200,1,0.0-5.0,0-500,400-800,3000-4000,8-11,0.0-5.0,10.0-15.0,1,0,1,3
592,1200-1600,0,0.5-1.0,0,10.0-15.0,0,60-80,0.2-0.4,160-200,5,15.0-20.0,0-500,1600-2000,1000-2000,11-14,0.0-5.0,15.0-20.0,0,0,1,1
593,1200-1600,1,2.5-3.0,0,0.0-5.0,1,40-60,0.4-0.6,80-120,3,0.0-5.0,500-1000,1600-2000,3000-4000,8-11,0.0-5.0,15.0-20.0,1,1,0,3
594,400-800,1,2.5-3.0,1,0.0-5.0,0,40-60,0-0.2,120-160,4,15.0-20.0,0-500,800-1200,2000-3000,5-8,0.0-5.0,0.0-5.0,1,1,1,2
595,400-800,0,0.5-1.0,1,0.0-5.0,0,40-60,0.4-0.6,120-160,3,0.0-5.0,0-500,400-800,0-1000,17-20,10.0-15.0,5.0-10.0,0,0,1,0
596,800-1200,0,0.5-1.0,0,5.0-10.0,0,20-40,0-0.2,120-160,2,10.0-15.0,0-500,1200-1600,3000-4000,8-11,0.0-5.0,10.0-15.0,1,0,0,2
597,400-800,1,0.5-1.0,0,0.0-5.0,0,0-20,0-0.2,160-200,8,5.0-10.0,0-500,800-1200,3000-4000,14-17,0.0-5.0,0.0-5.0,1,1,1,2
598,800-1200,0,2.0-2.5,0,5.0-10.0,1,0-20,0.8-1.0,160-200,5,5.0-10.0,1000-1500,1200-1600,0-1000,14-17,10.0-15.0,15.0-20.0,1,0,0,0
599,1600-2000,1,2.0-2.5,0,0.0-5.0,1,0-20,0-0.2,160-200,7,10.0-15.0,0-500,400-800,0-1000,17-20,15.0-20.0,10.0-15.0,1,0,0,0
600,800-1200,0,2.5-3.0,1,0.0-5.0,0,20-40,0.2-0.4,160-200,6,0.0-5.0,0-500,400-800,2000-3000,14-17,5.0-10.0,0.0-5.0,1,1,1,1
601,1200-1600,1,0.5-1.0,1,0.0-5.0,1,40-60,0.6-0.8,80-120,4,15.0-20.0,1000-1500,1600-2000,3000-4000,11-14,5.0-10.0,5.0-10.0,1,0,1,3
602,1600-2000,1,1.5-2.0,0,0.0-5.0,0,0-20,0.2-0.4,120-160,8,5.0-10.0,0-500,800-1200,0-1000,5-8,0.0-5.0,0.0-5.0,0,0,0,0
603,1600-2000,0,2.0-2.5,1,0.0-5.0,0,0-20,0.6-0.8,120-160,7,5.0-10.0,500-1000,1200-1600,1000-2000,5-8,0.0-5.0,15.0-20.0,1,0,0,1
604,1200-1600,0,0.5-1.0,1,0.0-5.0,1,20-40,0.6-0.8,160-200,2,0.0-5.0,1000-1500,1600-2000,1000-2000,14-17,15.0-20.0,10.0-15.0,1,0,0,1
605,1600-2000,0,1.0-1.5,1,0.0-5.0,1,40-60,0.2-0.4,120-160,5,10.0-15.0,0-500,400-800,2000-3000,5-8,0.0-5.0,0.0-5.0,1,1,1,2
606,1600-2000,1,1.5-2.0,0,5.0-10.0,1,0-20,0-0.2,80-120,7,10.0-15.0,0-500,1600-2000,2000-3000,11-14,10.0-15.0,10.0-15.0,1,1,1,2
607,800-1200,0,1.0-1.5,1,0.0-5.0,1,20-40,0.8-1.0,160-200,7,10.0-15.0,1000-1500,1200-1600,1000-2000,17-20,5.0-10.0,0.0-5.0,1,1,1,0
608,1600-2000,1,1.0-1.5,0,5.0-10.0,1,0-20,0.8-1.0,120-160,8,10.0-15.0,0-500,400-800,2000-3000,5-8,0.0-5.0,10.0-15.0,1,1,0,2
609,1200-1600,0,2.5-3.0,0,0.0-5.0,1,40-60,0.2-0.4,80-120,4,5.0-10.0,500-1000,1600-2000,2000-3000,11-14,0.0-5.0,0.0-5.0,1,1,1,2
610,1200-1600,1,0.5-1.0,0,0.0-5.0,0,40-60,0-0.2,160-200,3,0.0-5.0,500-1000,800-1200,0-1000,14-17,5.0-10.0,15.0-20.0,0,0,1,0
611,1600-2000,1,1.5-2.0,1,0.0-5.0,0,0-20,0-0.2,160-200,2,0.0-5.0,0-500,400-800,1000-2000,14-17,0.0-5.0,0.0-5.0,0,0,0,1
612,1600-2000,1,2.0-2.5,1,0.0-5.0,1,20-40,0-0.2,160-200,7,10.0-15.0,0-500,1200-1600,3000-4000,5-8,0.0-5.0,0.0-5.0,1,1,0,3
613,400-800,1,1.5-2.0,0,0.0-5.0,0,20-40,0.4-0.6,120-160,3,0.0-5.0,1000-1500,1200-1600,1000-2000,11-14,5.0-10.0,0.0-5.0,1,0,1,0
614,400-800,1,0.5-1.0,1,5.0-10.0,0,20-40,0-0.2,120-160,7,10.0-15.0,500-1000,400-800,3000-4000,11-14,0.0-5.0,5.0-10.0,0,0,0,2
615,800-1200,0,0.5-1.0,1,0.0-5.0,0,40-60,0.4-0.6,160-200,8,10.0-15.0,0-500,1200-1600,3000-4000,5-8,5.0-10.0,5.0-10.0,0,1,1,2
616,1200-1600,1,1.5-2.0,1,5.0-10.0,0,20-40,0.4-0.6,160-200,1,5.0-10.0,500-1000,400-800,3000-4000,17-20,0.0-5.0,15.0-20.0,0,1,1,3
617,800-1200,1,2.5-3.0,1,0.0-5.0,0,20-40,0.2-0.4,80-120,1,5.0-10.0,1000-1500,1600-2000,1000-2000,14-17,5.0-10.0,5.0-10.0,1,1,1,1
618,800-1200,0,1.5-2.0,1,0.0-5.0,0,0-20,0-0.2,160-200,5,5.0-10.0,500-1000,800-1200,3000-4000,11-14,0.0-5.0,15.0-20.0,1,0,1,3
619,400-800,0,2.0-2.5,1,5.0-10.0,0,20-40,0.6-0.8,160-200,2,5.0-10.0,500-1000,800-1200,3000-4000,5-8,0.0-5.0,5.0-10.0,1,0,1,2
620,800-1200,1,2.5-3.0,1,0.0-5.0,0,0-20,0.8-1.0,120-160,4,0.0-5.0,500-1000,800-1200,3000-4000,11-14,5.0-10.0,15.0-20.0,1,0,1,2
621,1600-2000,1,0.5-1.0,0,0.0-5.0,1,20-40,0-0.2,160-200,6,15.0-20.0,1000-1500,1600-2000,0-1000,14-17,10.0-15.0,10.0-15.0,1,1,0,1
622,1200-1600,0,0.5-1.0,1,0.0-5.0,1,0-20,0.4-0.6,120-160,7,0.0-5.0,0-500,800-1200,2000-3000,11-14,10.0-15.0,10.0-15.0,1,1,0,2
623,400-800,1,1.0-1.5,1,5.0-10.0,1,20-40,0.4-0.6,80-120,1,15.0-20.0,1000-1500,1600-2000,2000-3000,8-11,0.0-5.0,15.0-20.0,1,0,1,2
624,1600-2000,0,1.0-1.5,0,0.0-5.0,1,40-60,0.6-0.8,120-160,4,5.0-10.0,0-500,800-1200,1000-2000,17-20,10.0-15.0,10.0-15.0,1,0,1,1
625,400-800,0,2.0-2.5,0,10.0-15.0,1,40-60,0.2-0.4,120-160,4,15.0-20.0,500-1000,800-1200,2000-3000,11-14,10.0-15.0,0.0-5.0,1,0,1,1
626,1600-2000,1,2.0-2.5,1,0.0-5.0,1,20-40,0-0.2,160-200,3,0.0-5.0,500-1000,800-1200,0-1000,5-8,0.0-5.0,15.0-20.0,1,0,0,0
627,1200-1600,1,1.0-1.5,1,0.0-5.0,0,20-40,0-0.2,120-160,3,0.0-5.0,500-1000,1600-2000,1000-2000,5-8,0.0-5.0,10.0-15.0,0,1,1,1
628,1200-1600,1,0.5-1.0,1,0.0-5.0,1,40-60,0.4-0.6,80-120,6,0.0-5.0,0-500,800-1200,1000-2000,14-17,5.0-10.0,0.0-5.0,1,1,1,0
629,1600-2000,0,0.5-1.0,0,0.0-5.0,0,20-40,0.4-0.6,80-120,8,0.0-5.0,500-1000,1600-2000,0-1000,14-17,0.0-5.0,5.0-10.0,1,0,1,1
630,1600-2000,1,1.5-2.0,0,0.0-5.0,0,20-40,0.6-0.8,120-160,7,0.0-5.0,500-1000,1200-1600,0-1000,8-11,5.0-10.0,15.0-20.0,1,0,0,0
631,800-1200,1,1.0-1.5,0,0.0-5.0,1,20-40,0.6-0.8,80-120,5,0.0-5.0,1000-1500,1200-1600,3000-4000,14-17,15.0-20.0,0.0-5.0,1,0,1,3
632,800-1200,0,2.0-2.5,0,0.0-5.0,1,0-20,0-0.2,120-160,8,0.0-5.0,0-500,400-800,2000-3000,5-8,0.0-5.0,15.0-20.0,1,1,0,1
633,1200-1600,0,1.0-1.5,1,0.0-5.0,0,40-60,0.6-0.8,160-200,3,5.0-10.0,500-1000,800-1200,1000-2000,5-8,0.0-5.0,5.0-10.0,1,1,0,1
634,1200-1600,0,2.5-3.0,1,10.0-15.0,0,0-20,0.4-0.6,80-120,6,15.0-20.0,1000-1500,1600-2000,3000-4000,11-14,0.0-5.0,10.0-15.0,1,1,1,3
635,400-800,1,0.5-1.0,0,5.0-10.0,0,0-20,0.4-0.6,120-160,3,10.0-15.0,1000-1500,1200-1600,1000-2000,5-8,0.0-5.0,15.0-20.0,1,1,1,1
636,400-800,1,0.5-1.0,1,0.0-5.0,0,0-20,0.2-0.4,80-120,7,0.0-5.0,1000-1500,1600-2000,3000-4000,11-14,5.0-10.0,10.0-15.0,0,0,0,3
637,1600-2000,1,0.5-1.0,0,5.0-10.0,1,20-40,0.2-0.4,120-160,8,10.0-15.0,0-500,400-800,2000-3000,11-14,0.0-5.0,5.0-10.0,1,0,0,2
638,800-1200,0,0.5-1.0,1,0.0-5.0,0,40-60,0.8-1.0,120-160,5,5.0-10.0,1000-1500,1200-1600,1000-2000,11-14,5.0-10.0,5.0-10.0,1,1,1,1
639,800-1200,0,0.5-1.0,1,0.0-5.0,1,40-60,0.2-0.4,160-200,8,5.0-10.0,0-500,1600-2000,1000-2000,14-17,10.0-15.0,10.0-15.0,1,0,0,1
640,400-800,0,0.5-1.0,0,0.0-5.0,0,0-20,0.6-0.8,80-120,5,0.0-5.0,0-500,400-800,1000-2000,17-20,0.0-5.0,5.0-10.0,0,0,0,0
641,400-800,0,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,160-200,7,0.0-5.0,0-500,1600-2000,2000-3000,5-8,0.0-5.0,5.0-10.0,1,0,1,2
642,800-1200,1,2.0-2.5,0,0.0-5.0,1,20-40,0.8-1.0,80-120,6,5.0-10.0,0-500,800-1200,0-1000,14-17,5.0-10.0,0.0-5.0,1,1,0,0
