,status_of_existing_checking_account,duration_(months),credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_existing_credits,job,no._of_people_being_liable_to_provide_maintenance,telephone,foreign_worker,class
213,A13,20-30,A33,A49,0-2500,A61,A75,4,A93,A101,4,A121,60-70,A143,A152,1,A174,1,A192,A201,2
214,A14,30-40,A34,A43,2500-5000,A65,A75,4,A93,A101,2,A123,50-60,A143,A152,1,A173,1,A192,A201,1
215,A12,0-10,A34,A48,0-2500,A65,A74,1,A92,A101,3,A122,30-40,A143,A152,2,A172,1,A191,A201,1
216,A11,10-20,A30,A49,2500-5000,A61,A74,3,A93,A101,1,A122,30-40,A141,A152,1,A173,1,A192,A201,1
217,A13,30-40,A32,A43,2500-5000,A61,A73,2,A93,A101,2,A121,20-30,A143,A152,1,A173,1,A192,A201,1
218,A11,20-30,A32,A42,2500-5000,A61,A73,2,A91,A101,2,A121,20-30,A143,A151,1,A172,1,A191,A201,1
219,A14,0-10,A32,A40,0-2500,A61,A73,2,A92,A101,4,A123,60-70,A143,A152,1,A173,1,A192,A201,1
220,A12,10-20,A32,A43,0-2500,A61,A72,4,A94,A103,1,A121,20-30,A141,A152,1,A172,1,A191,A201,1
221,A11,10-20,A32,A46,0-2500,A65,A73,4,A92,A101,4,A122,20-30,A141,A151,1,A173,1,A192,A201,1
222,A14,10-20,A32,A43,0-2500,A61,A73,4,A93,A101,2,A121,20-30,A141,A152,2,A173,1,A191,A201,1
223,A14,20-30,A33,A49,2500-5000,A65,A73,4,A93,A101,4,A121,30-40,A143,A152,2,A173,2,A192,A201,1
224,A14,10-20,A32,A41,2500-5000,A61,A73,3,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A192,A201,1
225,A14,30-40,A30,A45,2500-5000,A61,A73,4,A93,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
226,A12,40-50,A32,A43,10000-12500,A64,A74,1,A93,A102,2,A124,20-30,A141,A152,2,A173,1,A192,A201,2
227,A11,10-20,A32,A42,7500-10000,A61,A75,4,A93,A101,4,A124,50-60,A143,A153,1,A174,1,A192,A201,2
228,A14,0-10,A32,A43,0-2500,A61,A74,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,2
229,A11,20-30,A32,A42,2500-5000,A61,A72,4,A93,A101,1,A124,20-30,A141,A153,1,A173,1,A191,A201,1
230,A13,30-40,A32,A43,2500-5000,A61,A73,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,2
231,A14,0-10,A32,A40,2500-5000,A63,A75,2,A93,A101,4,A124,50-60,A143,A153,1,A172,1,A191,A201,1
232,A14,10-20,A32,A43,0-2500,A62,A74,3,A93,A101,1,A124,30-40,A143,A152,1,A173,1,A191,A201,1
233,A12,10-20,A32,A43,0-2500,A61,A73,4,A94,A103,2,A121,20-30,A143,A152,1,A172,1,A191,A201,1
234,A14,0-10,A34,A43,0-2500,A61,A74,2,A93,A101,1,A121,40-50,A143,A152,3,A172,2,A191,A201,1
235,A11,20-30,A32,A43,0-2500,A61,A71,4,A93,A101,2,A123,20-30,A142,A152,1,A174,2,A191,A201,2
236,A12,0-10,A32,A40,12500-15000,A65,A71,1,A93,A101,2,A122,20-30,A143,A152,1,A171,1,A192,A201,2
237,A12,20-30,A32,A49,2500-5000,A62,A75,4,A91,A101,2,A123,60-70,A141,A151,2,A172,1,A191,A201,2
238,A14,10-20,A34,A43,0-2500,A61,A73,4,A92,A101,2,A122,30-40,A143,A152,2,A173,1,A191,A201,1
239,A11,20-30,A32,A43,2500-5000,A61,A75,1,A93,A103,3,A122,30-40,A143,A152,1,A173,2,A191,A201,1
240,A11,20-30,A32,A40,0-2500,A65,A75,4,A92,A101,2,A123,20-30,A141,A152,1,A173,1,A191,A201,2
241,A14,0-10,A32,A43,0-2500,A61,A74,3,A93,A101,2,A122,50-60,A143,A152,1,A173,2,A191,A201,1
242,A11,40-50,A30,A41,2500-5000,A61,A75,3,A93,A101,4,A124,20-30,A143,A153,2,A173,2,A191,A201,2
243,A14,10-20,A34,A49,0-2500,A61,A73,3,A92,A101,2,A121,20-30,A143,A152,2,A173,1,A191,A201,1
244,A14,10-20,A31,A48,2500-5000,A63,A73,4,A92,A101,3,A121,30-40,A143,A152,1,A172,2,A191,A201,1
245,A14,20-30,A32,A49,0-2500,A61,A74,4,A93,A101,1,A121,20-30,A143,A152,1,A173,1,A192,A201,1
246,A14,10-20,A34,A43,0-2500,A61,A75,4,A93,A101,4,A121,50-60,A143,A152,3,A173,1,A191,A201,1
247,A14,0-10,A30,A40,0-2500,A62,A73,4,A93,A101,1,A124,30-40,A141,A151,1,A173,1,A191,A202,1
248,A13,20-30,A32,A42,0-2500,A61,A73,2,A93,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A201,1
249,A14,10-20,A32,A43,0-2500,A61,A71,3,A92,A102,4,A121,20-30,A143,A151,1,A173,1,A191,A201,2
250,A11,0-10,A34,A40,0-2500,A64,A74,3,A92,A101,4,A121,30-40,A143,A152,2,A172,1,A192,A201,1
251,A13,10-20,A32,A42,0-2500,A61,A73,1,A92,A101,2,A123,40-50,A143,A152,1,A172,1,A191,A201,1
252,A12,20-30,A32,A40,0-2500,A61,A73,4,A92,A103,2,A124,20-30,A141,A152,1,A173,1,A191,A201,2
253,A14,20-30,A33,A42,2500-5000,A62,A73,2,A93,A101,3,A122,30-40,A143,A152,2,A173,1,A191,A201,1
254,A12,0-10,A32,A42,0-2500,A65,A74,2,A93,A101,1,A123,20-30,A143,A152,1,A173,1,A192,A201,1
255,A12,50-60,A33,A43,5000-7500,A65,A73,1,A93,A101,1,A121,20-30,A143,A152,1,A172,1,A191,A201,1
256,A14,20-30,A34,A43,2500-5000,A61,A73,4,A93,A101,2,A121,30-40,A143,A152,2,A172,1,A191,A201,1
257,A11,10-20,A31,A43,0-2500,A61,A73,4,A91,A101,1,A124,20-30,A143,A153,1,A173,1,A191,A201,2
258,A14,10-20,A32,A41,2500-5000,A62,A72,1,A92,A101,4,A123,20-30,A143,A152,1,A173,1,A192,A201,1
259,A14,10-20,A34,A43,0-2500,A62,A71,4,A92,A101,4,A121,50-60,A143,A152,3,A172,1,A191,A201,1
260,A11,10-20,A32,A42,0-2500,A61,A73,2,A93,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A201,1
261,A11,20-30,A32,A43,0-2500,A61,A75,4,A92,A101,4,A123,50-60,A143,A152,1,A173,1,A191,A201,1
262,A11,10-20,A34,A40,5000-7500,A61,A75,2,A93,A101,4,A124,30-40,A143,A153,3,A174,1,A192,A201,1
263,A14,10-20,A34,A46,2500-5000,A61,A75,2,A92,A101,4,A124,50-60,A141,A153,3,A172,1,A191,A201,1
264,A14,0-10,A34,A40,0-2500,A61,A75,3,A93,A101,4,A121,30-40,A143,A152,2,A172,2,A191,A202,1
265,A12,10-20,A32,A43,0-2500,A61,A75,4,A93,A101,3,A123,30-40,A143,A152,1,A173,2,A191,A201,2
266,A14,30-40,A34,A49,5000-7500,A65,A75,4,A93,A101,4,A121,30-40,A143,A152,2,A173,1,A191,A201,1
267,A14,20-30,A32,A43,0-2500,A61,A72,4,A92,A101,3,A123,30-40,A142,A152,1,A173,1,A192,A201,1
268,A11,10-20,A32,A40,7500-10000,A61,A75,1,A91,A101,4,A122,40-50,A143,A152,1,A174,1,A192,A202,2
269,A14,20-30,A32,A43,0-2500,A65,A75,4,A93,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
270,A14,10-20,A32,A40,2500-5000,A65,A74,4,A93,A101,3,A122,30-40,A143,A152,1,A173,1,A191,A202,1
271,A14,10-20,A34,A42,0-2500,A63,A74,3,A92,A101,4,A123,30-40,A143,A151,1,A173,1,A192,A201,1
272,A12,40-50,A31,A40,10000-12500,A65,A71,4,A93,A102,4,A124,30-40,A143,A153,1,A174,1,A192,A201,1
273,A12,40-50,A32,A43,2500-5000,A61,A74,4,A93,A101,4,A121,20-30,A143,A152,2,A173,1,A191,A201,2
274,A11,20-30,A32,A45,10000-12500,A61,A72,1,A91,A101,1,A124,30-40,A143,A152,1,A172,1,A192,A201,2
275,A14,0-10,A32,A43,2500-5000,A61,A73,1,A93,A101,2,A121,30-40,A143,A152,1,A173,2,A191,A201,1
276,A14,10-20,A34,A43,0-2500,A61,A73,2,A92,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
277,A11,10-20,A32,A42,0-2500,A65,A75,2,A91,A101,4,A122,40-50,A143,A152,1,A172,1,A192,A201,1
278,A14,0-10,A32,A42,2500-5000,A61,A72,1,A92,A101,4,A122,30-40,A143,A152,1,A173,1,A191,A201,2
279,A14,20-30,A32,A43,0-2500,A62,A73,4,A93,A101,4,A123,20-30,A143,A151,1,A174,1,A192,A201,1
280,A14,10-20,A34,A41,2500-5000,A64,A75,3,A93,A101,4,A124,20-30,A143,A151,2,A173,1,A192,A201,1
281,A14,10-20,A32,A42,0-2500,A61,A73,4,A93,A101,2,A121,40-50,A143,A152,1,A173,1,A191,A201,1
282,A13,10-20,A31,A43,0-2500,A65,A74,4,A93,A101,4,A123,40-50,A141,A152,1,A172,1,A191,A201,1
283,A14,10-20,A34,A42,0-2500,A65,A75,4,A93,A101,4,A122,60-70,A143,A152,1,A173,1,A191,A201,1
284,A12,20-30,A34,A40,2500-5000,A62,A72,4,A91,A101,2,A123,30-40,A143,A152,1,A173,1,A192,A201,1
285,A11,40-50,A32,A40,10000-12500,A61,A72,1,A92,A101,1,A121,30-40,A143,A152,1,A172,1,A192,A201,1
286,A11,40-50,A32,A41,2500-5000,A61,A74,4,A93,A101,3,A122,20-30,A143,A152,1,A173,2,A191,A201,1
287,A12,40-50,A33,A410,7500-10000,A62,A71,2,A93,A101,4,A124,30-40,A143,A153,1,A174,1,A192,A201,1
288,A12,10-20,A32,A43,0-2500,A61,A73,4,A92,A103,4,A121,40-50,A143,A152,2,A173,1,A192,A201,1
289,A11,20-30,A33,A43,0-2500,A61,A72,4,A94,A101,4,A121,40-50,A142,A152,1,A173,1,A191,A201,2
290,A14,10-20,A32,A49,0-2500,A61,A73,2,A94,A101,2,A121,20-30,A143,A152,1,A173,1,A192,A202,1
291,A12,30-40,A32,A41,7500-10000,A61,A72,1,A94,A101,4,A123,20-30,A143,A151,1,A174,1,A192,A201,2
292,A11,20-30,A34,A41,5000-7500,A61,A75,2,A92,A101,4,A124,40-50,A143,A153,2,A174,2,A192,A201,1
293,A13,40-50,A34,A41,2500-5000,A61,A75,4,A93,A101,4,A124,50-60,A143,A153,1,A173,1,A191,A201,1
294,A14,40-50,A34,A49,7500-10000,A65,A75,4,A91,A101,2,A123,40-50,A141,A152,2,A174,2,A191,A201,1
295,A12,40-50,A32,A42,7500-10000,A61,A72,1,A92,A101,2,A123,20-30,A143,A152,1,A173,1,A192,A201,2
296,A14,10-20,A32,A41,2500-5000,A65,A72,1,A92,A101,4,A123,10-20,A143,A151,1,A173,1,A191,A201,1
297,A14,0-10,A32,A40,0-2500,A65,A75,4,A93,A102,2,A122,40-50,A143,A152,1,A172,1,A191,A202,1
298,A14,10-20,A32,A42,2500-5000,A61,A73,3,A93,A101,4,A121,40-50,A143,A152,1,A173,1,A192,A201,1
299,A12,20-30,A34,A42,2500-5000,A64,A74,3,A93,A101,2,A123,30-40,A143,A152,2,A173,1,A192,A201,1
300,A14,0-10,A32,A40,0-2500,A61,A71,1,A92,A101,4,A121,50-60,A143,A152,1,A171,1,A192,A201,1
301,A12,30-40,A30,A43,2500-5000,A61,A73,4,A92,A101,1,A123,40-50,A143,A152,1,A173,1,A192,A201,2
302,A13,20-30,A34,A40,0-2500,A65,A74,4,A93,A101,2,A121,30-40,A141,A152,2,A172,2,A191,A201,2
303,A11,0-10,A34,A40,0-2500,A61,A74,4,A93,A102,3,A122,40-50,A143,A152,2,A173,1,A192,A201,1
304,A14,40-50,A34,A40,10000-12500,A63,A73,2,A93,A101,2,A124,40-50,A141,A153,1,A173,1,A191,A201,2
305,A14,0-10,A32,A42,0-2500,A64,A73,4,A91,A101,2,A121,30-40,A143,A152,1,A173,1,A191,A201,1
306,A14,20-30,A32,A41,2500-5000,A65,A74,2,A92,A101,4,A122,20-30,A142,A151,1,A172,1,A191,A201,1
307,A11,10-20,A32,A43,0-2500,A62,A72,4,A94,A101,3,A124,30-40,A143,A152,1,A172,1,A192,A201,2
308,A12,0-10,A32,A42,0-2500,A61,A73,3,A92,A101,4,A121,20-30,A143,A152,1,A173,1,A191,A201,2
309,A12,0-10,A32,A40,0-2500,A61,A73,4,A94,A101,4,A121,20-30,A143,A151,1,A172,1,A191,A201,1
310,A12,40-50,A32,A410,5000-7500,A65,A71,3,A93,A101,4,A124,30-40,A141,A153,1,A171,1,A192,A201,1
311,A14,20-30,A32,A42,5000-7500,A62,A73,4,A93,A101,1,A123,20-30,A142,A152,1,A173,1,A191,A201,1
312,A13,20-30,A32,A42,2500-5000,A61,A72,2,A92,A101,4,A123,20-30,A143,A152,1,A173,1,A191,A201,1
313,A12,10-20,A32,A40,0-2500,A61,A74,2,A94,A101,3,A123,20-30,A141,A152,1,A172,1,A191,A201,2
314,A13,0-10,A32,A40,0-2500,A65,A72,1,A93,A101,2,A121,20-30,A143,A152,1,A172,2,A191,A202,1
315,A11,30-40,A31,A42,2500-5000,A61,A75,4,A93,A101,4,A123,30-40,A141,A152,1,A173,1,A191,A201,2
316,A11,10-20,A32,A42,0-2500,A61,A73,2,A93,A103,3,A122,30-40,A143,A152,1,A172,2,A191,A201,1
317,A12,20-30,A32,A42,2500-5000,A65,A73,1,A92,A101,4,A122,40-50,A143,A152,1,A172,1,A192,A201,1
318,A14,10-20,A34,A46,0-2500,A61,A73,4,A93,A101,2,A123,30-40,A143,A152,2,A173,1,A191,A201,1
319,A11,10-20,A33,A42,2500-5000,A61,A75,1,A92,A101,4,A122,20-30,A143,A152,2,A172,1,A191,A201,1
320,A12,20-30,A34,A40,2500-5000,A61,A71,4,A94,A101,2,A123,20-30,A143,A152,2,A174,1,A191,A201,2
321,A11,20-30,A32,A43,0-2500,A61,A72,4,A91,A101,3,A122,30-40,A143,A152,1,A173,1,A191,A201,2
322,A11,20-30,A32,A41,2500-5000,A61,A74,2,A93,A101,1,A124,30-40,A143,A153,1,A174,1,A192,A201,1
323,A11,10-20,A32,A42,2500-5000,A64,A73,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,1
324,A14,10-20,A34,A40,0-2500,A61,A73,4,A92,A101,3,A121,30-40,A143,A152,2,A173,1,A191,A201,1
325,A11,0-10,A34,A40,2500-5000,A61,A74,1,A93,A101,4,A121,30-40,A143,A152,2,A172,1,A191,A202,1
326,A14,10-20,A34,A42,5000-7500,A65,A75,2,A93,A101,4,A122,40-50,A143,A151,1,A173,1,A192,A201,1
327,A14,20-30,A32,A40,0-2500,A64,A74,4,A92,A101,3,A123,30-40,A143,A152,1,A173,2,A192,A201,1
328,A13,30-40,A32,A43,2500-5000,A61,A75,4,A93,A101,2,A123,30-40,A143,A152,1,A173,1,A191,A201,1
329,A12,0-10,A32,A43,0-2500,A61,A75,4,A93,A101,4,A123,20-30,A143,A152,1,A173,2,A191,A201,1
330,A11,20-30,A34,A41,5000-7500,A61,A71,2,A93,A101,4,A124,70-80,A143,A153,2,A174,1,A192,A201,1
331,A14,10-20,A34,A46,0-2500,A62,A73,4,A92,A101,2,A121,20-30,A143,A152,2,A173,1,A191,A201,2
332,A12,50-60,A32,A40,5000-7500,A62,A72,4,A92,A101,2,A122,20-30,A143,A152,1,A174,1,A191,A201,2
333,A14,40-50,A34,A41,10000-12500,A62,A73,2,A92,A101,4,A123,20-30,A141,A151,2,A172,1,A191,A201,2
334,A11,20-30,A30,A42,2500-5000,A61,A75,3,A93,A101,4,A124,20-30,A141,A151,2,A173,2,A191,A201,2
335,A11,0-10,A34,A42,2500-5000,A61,A73,1,A91,A101,4,A121,40-50,A143,A151,1,A174,1,A192,A201,2
336,A12,10-20,A32,A43,0-2500,A61,A72,2,A92,A103,4,A122,20-30,A143,A152,1,A172,1,A191,A201,1
337,A11,10-20,A32,A44,0-2500,A65,A73,4,A92,A101,2,A123,20-30,A143,A151,1,A173,1,A191,A201,2
338,A11,20-30,A32,A42,2500-5000,A61,A73,4,A93,A101,4,A122,20-30,A143,A152,1,A173,1,A191,A201,1
339,A12,0-10,A32,A42,0-2500,A61,A73,4,A91,A101,2,A123,30-40,A143,A152,1,A172,1,A191,A201,1
340,A12,20-30,A34,A46,5000-7500,A61,A72,2,A92,A101,4,A124,20-30,A143,A153,2,A173,1,A192,A201,1
341,A11,20-30,A32,A42,2500-5000,A61,A74,1,A92,A101,4,A123,20-30,A143,A151,1,A172,1,A191,A201,1
342,A12,10-20,A32,A43,2500-5000,A63,A72,1,A94,A101,3,A121,20-30,A143,A151,1,A173,1,A191,A201,1
343,A12,10-20,A32,A49,2500-5000,A61,A75,1,A93,A102,1,A121,30-40,A141,A152,1,A174,1,A192,A201,1
344,A13,0-10,A32,A40,2500-5000,A61,A72,1,A93,A103,1,A122,30-40,A143,A152,1,A172,2,A191,A201,1
345,A14,10-20,A34,A43,0-2500,A61,A73,4,A92,A101,2,A123,40-50,A143,A152,1,A172,1,A191,A201,1
346,A12,10-20,A34,A43,0-2500,A61,A72,4,A93,A103,4,A121,20-30,A143,A152,2,A173,1,A191,A201,1
347,A12,20-30,A32,A43,2500-5000,A63,A71,1,A92,A101,4,A124,20-30,A143,A151,1,A171,1,A191,A201,1
348,A14,0-10,A33,A49,0-2500,A62,A73,1,A93,A101,2,A121,30-40,A143,A152,2,A172,1,A191,A201,1
349,A12,0-10,A34,A46,0-2500,A64,A75,4,A93,A101,3,A124,30-40,A143,A153,2,A173,2,A191,A201,2
350,A14,0-10,A32,A44,0-2500,A61,A72,1,A92,A101,4,A121,20-30,A143,A151,1,A173,1,A192,A201,1
351,A12,0-10,A32,A42,0-2500,A61,A73,1,A92,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A202,2
352,A14,10-20,A34,A41,2500-5000,A65,A71,2,A93,A101,4,A124,30-40,A143,A152,1,A174,1,A192,A201,1
353,A11,10-20,A30,A43,5000-7500,A61,A73,4,A93,A101,2,A122,20-30,A143,A151,2,A173,1,A192,A201,2
354,A14,0-10,A32,A46,0-2500,A63,A75,4,A93,A101,4,A124,40-50,A143,A153,1,A173,1,A192,A201,1
355,A12,20-30,A32,A40,0-2500,A61,A72,4,A93,A101,2,A121,20-30,A142,A152,1,A172,1,A191,A201,2
356,A14,10-20,A34,A43,0-2500,A65,A75,1,A93,A102,4,A121,40-50,A143,A152,1,A173,1,A192,A201,1
357,A14,30-40,A33,A43,2500-5000,A61,A73,4,A93,A101,2,A123,20-30,A143,A152,2,A174,1,A192,A201,2
358,A14,10-20,A32,A43,0-2500,A61,A73,4,A94,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A201,1
359,A11,20-30,A32,A42,0-2500,A61,A74,4,A92,A101,4,A121,20-30,A143,A151,1,A173,1,A191,A201,2
360,A12,10-20,A32,A46,0-2500,A65,A73,4,A93,A101,4,A124,60-70,A143,A153,1,A173,1,A191,A201,1
361,A13,10-20,A32,A43,2500-5000,A65,A75,2,A93,A101,3,A123,30-40,A143,A152,1,A174,1,A191,A201,1
362,A13,10-20,A33,A40,0-2500,A61,A73,2,A92,A101,2,A123,30-40,A142,A152,2,A173,1,A192,A201,1
363,A14,0-10,A32,A42,0-2500,A61,A73,1,A94,A101,2,A122,20-30,A143,A151,1,A173,1,A191,A201,1
364,A11,10-20,A32,A42,0-2500,A61,A71,4,A93,A101,1,A123,20-30,A143,A152,1,A171,1,A191,A201,2
365,A14,10-20,A32,A49,0-2500,A61,A74,2,A93,A101,4,A123,30-40,A143,A152,1,A173,1,A192,A201,1
366,A14,10-20,A34,A41,2500-5000,A61,A74,3,A93,A101,1,A123,20-30,A143,A152,2,A173,1,A191,A201,1
367,A11,10-20,A32,A42,2500-5000,A61,A72,1,A92,A101,4,A123,20-30,A143,A151,1,A173,1,A191,A201,1
368,A11,30-40,A32,A42,2500-5000,A61,A75,4,A93,A101,2,A123,40-50,A143,A152,1,A173,2,A191,A201,2
369,A12,10-20,A32,A42,2500-5000,A61,A74,2,A92,A101,4,A121,30-40,A143,A151,1,A173,1,A191,A201,1
370,A14,30-40,A32,A40,2500-5000,A65,A73,4,A93,A101,4,A121,30-40,A143,A152,1,A173,1,A191,A201,1
371,A14,10-20,A34,A43,5000-7500,A61,A75,3,A93,A101,4,A123,30-40,A143,A152,2,A173,1,A192,A201,1
372,A14,0-10,A34,A42,0-2500,A61,A72,1,A92,A101,3,A121,20-30,A143,A151,2,A173,1,A191,A201,1
373,A14,50-60,A34,A40,12500-15000,A65,A75,2,A93,A101,4,A124,60-70,A141,A153,1,A174,1,A192,A201,1
374,A12,50-60,A31,A410,12500-15000,A62,A75,3,A92,A101,4,A124,50-60,A141,A153,2,A174,1,A192,A201,2
375,A11,40-50,A31,A49,7500-10000,A61,A74,2,A92,A103,4,A123,30-40,A143,A151,1,A173,1,A191,A201,2
376,A14,10-20,A33,A43,0-2500,A61,A71,2,A94,A101,3,A121,30-40,A143,A152,2,A173,1,A191,A201,1
377,A14,0-10,A33,A43,0-2500,A65,A75,3,A93,A101,4,A124,30-40,A143,A153,1,A173,1,A191,A201,1
378,A12,30-40,A32,A40,12500-15000,A61,A75,4,A93,A101,2,A124,50-60,A143,A153,1,A174,1,A192,A201,2
379,A14,0-10,A34,A40,0-2500,A62,A73,4,A92,A101,4,A123,50-60,A143,A152,2,A172,1,A191,A201,1
380,A11,10-20,A32,A42,0-2500,A65,A74,4,A93,A101,4,A123,30-40,A143,A152,1,A173,1,A192,A201,1
381,A12,10-20,A32,A41,12500-15000,A61,A71,3,A92,A101,4,A124,30-40,A143,A153,1,A174,1,A192,A201,2
382,A14,20-30,A32,A40,0-2500,A65,A74,4,A92,A101,4,A122,20-30,A143,A151,1,A173,1,A191,A201,1
383,A13,10-20,A32,A40,0-2500,A61,A72,4,A93,A101,1,A121,20-30,A143,A152,1,A173,1,A191,A201,1
384,A14,20-30,A33,A49,2500-5000,A62,A73,2,A93,A101,2,A122,20-30,A143,A152,2,A172,1,A191,A201,1
385,A14,10-20,A34,A43,0-2500,A61,A73,2,A92,A101,1,A123,20-30,A143,A152,2,A173,1,A191,A201,1
386,A14,10-20,A32,A43,0-2500,A65,A72,4,A92,A101,2,A121,20-30,A143,A151,1,A173,1,A192,A201,1
387,A12,10-20,A34,A42,5000-7500,A61,A71,4,A93,A101,4,A122,30-40,A142,A152,2,A174,1,A192,A201,1
388,A12,10-20,A34,A49,0-2500,A63,A73,2,A93,A101,4,A123,20-30,A141,A152,1,A173,1,A191,A201,1
389,A14,0-10,A32,A49,0-2500,A61,A74,3,A92,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
390,A14,10-20,A32,A40,0-2500,A61,A73,2,A94,A101,2,A122,20-30,A143,A152,1,A174,1,A192,A201,1
391,A12,10-20,A32,A42,0-2500,A64,A72,1,A92,A101,4,A121,10-20,A143,A151,1,A172,1,A191,A201,1
392,A11,30-40,A32,A40,2500-5000,A61,A74,2,A93,A101,4,A124,30-40,A141,A153,1,A174,2,A192,A201,1
393,A11,0-10,A34,A43,0-2500,A61,A74,1,A92,A101,4,A123,30-40,A143,A152,1,A173,1,A191,A201,1
394,A14,0-10,A34,A42,0-2500,A61,A71,2,A93,A101,3,A123,30-40,A143,A152,1,A174,1,A191,A201,1
395,A12,30-40,A33,A46,10000-12500,A62,A74,2,A93,A101,3,A124,30-40,A143,A151,1,A173,1,A192,A201,1
396,A11,10-20,A32,A42,2500-5000,A61,A71,3,A92,A101,4,A124,50-60,A143,A153,1,A174,1,A191,A201,1
397,A11,30-40,A34,A42,0-2500,A61,A73,3,A94,A101,2,A122,40-50,A143,A152,2,A173,1,A192,A201,1
398,A12,10-20,A32,A40,0-2500,A61,A75,1,A91,A101,1,A121,40-50,A143,A151,2,A173,1,A191,A201,2
399,A14,20-30,A34,A43,0-2500,A64,A73,4,A92,A101,1,A121,40-50,A143,A152,2,A172,1,A191,A201,1
400,A14,10-20,A32,A43,0-2500,A61,A72,3,A94,A101,4,A121,30-40,A143,A152,1,A173,1,A192,A201,1
401,A12,10-20,A34,A49,0-2500,A65,A73,4,A94,A101,4,A121,20-30,A141,A152,2,A173,1,A191,A201,1
402,A14,20-30,A33,A49,7500-10000,A61,A72,2,A93,A101,2,A123,20-30,A141,A152,2,A173,1,A192,A201,2
403,A14,10-20,A33,A40,0-2500,A61,A73,4,A93,A101,2,A123,20-30,A143,A152,2,A172,1,A191,A201,1
404,A12,10-20,A33,A40,2500-5000,A65,A75,4,A93,A101,4,A123,40-50,A143,A152,1,A173,2,A191,A201,1
405,A12,20-30,A32,A43,0-2500,A61,A72,1,A94,A101,1,A122,20-30,A143,A152,1,A173,1,A192,A201,2
406,A14,20-30,A34,A41,0-2500,A65,A74,4,A93,A101,4,A123,40-50,A143,A152,2,A173,2,A192,A201,1
407,A11,10-20,A32,A43,0-2500,A61,A72,4,A94,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A202,1
408,A14,20-30,A32,A43,2500-5000,A63,A75,3,A91,A101,2,A123,20-30,A143,A152,1,A174,1,A192,A201,1
409,A13,10-20,A34,A40,0-2500,A63,A74,4,A94,A101,2,A121,20-30,A143,A152,3,A173,1,A192,A201,2
410,A12,20-30,A32,A43,0-2500,A61,A75,4,A92,A101,4,A123,10-20,A143,A152,1,A173,1,A192,A201,1
411,A14,30-40,A34,A41,5000-7500,A61,A74,3,A93,A101,2,A123,30-40,A143,A152,2,A174,1,A192,A201,1
412,A14,10-20,A34,A49,0-2500,A61,A71,4,A93,A101,2,A123,40-50,A142,A152,2,A174,1,A192,A201,2
413,A14,0-10,A32,A40,0-2500,A63,A73,3,A93,A101,2,A124,30-40,A143,A151,1,A172,2,A191,A202,1
414,A11,20-30,A32,A40,0-2500,A65,A73,4,A92,A101,2,A122,30-40,A143,A152,1,A173,1,A191,A201,2
415,A14,30-40,A34,A41,5000-7500,A61,A75,2,A93,A101,2,A122,30-40,A143,A152,2,A173,2,A192,A201,1
416,A11,10-20,A32,A40,2500-5000,A61,A72,4,A93,A101,1,A121,30-40,A143,A152,1,A172,2,A191,A201,2
417,A11,10-20,A33,A46,7500-10000,A65,A73,1,A92,A101,2,A123,20-30,A143,A151,2,A173,1,A192,A201,1
418,A14,20-30,A32,A40,2500-5000,A63,A74,1,A92,A101,2,A123,30-40,A141,A152,1,A174,1,A191,A201,1
419,A12,10-20,A32,A40,0-2500,A65,A73,4,A92,A101,2,A122,30-40,A143,A152,1,A173,1,A191,A201,2
420,A14,10-20,A32,A40,2500-5000,A64,A74,2,A92,A101,3,A123,10-20,A143,A151,1,A173,1,A191,A201,1
421,A12,10-20,A32,A41,0-2500,A65,A73,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,1
422,A12,10-20,A34,A40,0-2500,A61,A74,2,A93,A101,3,A121,40-50,A143,A152,2,A172,2,A191,A201,1
423,A14,20-30,A33,A42,0-2500,A62,A74,4,A93,A101,3,A121,30-40,A143,A152,2,A174,1,A191,A201,1
424,A12,10-20,A32,A42,2500-5000,A65,A75,1,A92,A101,2,A122,20-30,A141,A152,1,A173,1,A192,A201,2
425,A12,10-20,A32,A41,2500-5000,A61,A73,1,A94,A101,3,A123,20-30,A143,A151,1,A173,1,A192,A201,1
426,A14,20-30,A34,A43,2500-5000,A61,A75,4,A93,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
427,A14,10-20,A34,A43,0-2500,A64,A73,4,A93,A101,3,A121,40-50,A143,A152,2,A173,1,A191,A201,1
